year,county_name,yield_bu_per_acre
2018,GREENE,201.3
2018,GRUNDY,225.2
2018,GUTHRIE,192.2
2018,HAMILTON,188.9
2018,HANCOCK,176.7
2018,HARDIN,216.6
2018,HARRISON,176.0
2018,HENRY,189.7
2018,HOWARD,185.5
2018,HUMBOLDT,162.3
2018,IDA,222.2
2018,IOWA,211.7
2018,JACKSON,202.4
2018,JASPER,218.6
2018,JEFFERSON,198.8
2018,JOHNSON,212.3
2018,JONES,208.9
2018,KEOKUK,203.7
2018,KOSSUTH,180.2
2018,LEE,201.3
2018,LINN,215.4
2018,LOUISA,196.5
2018,LYON,193.0
2018,MADISON,167.8
2018,MAHASKA,207.7
2018,MARION,190.2
2018,MARSHALL,226.0
2018,MITCHELL,193.3
2018,MONONA,181.4
2018,MONROE,167.0
2018,MONTGOMERY,191.5
2018,MUSCATINE,209.6
2018,O BRIEN,201.6
2018,OSCEOLA,180.2
2018,OTHER (COMBINED) COUNTIES,172.0666666666667
2018,PAGE,188.1
2018,PALO ALTO,157.9
2018,PLYMOUTH,213.8
2018,POCAHONTAS,179.2
2018,POLK,186.2
2018,POWESHIEK,218.7
2018,RINGGOLD,153.3
2018,SAC,213.5
2018,SCOTT,214.0
2018,SHELBY,189.1
2018,SIOUX,211.9
2018,STORY,192.3
2018,TAMA,224.3
2018,TAYLOR,154.4
2018,UNION,155.8
2018,VAN BUREN,180.9
2018,WARREN,163.6
2018,WASHINGTON,214.3
2018,WAYNE,171.6
2018,WEBSTER,188.1
2018,WINNEBAGO,180.8
2018,WINNESHIEK,198.1
2018,WOODBURY,219.3
2018,WORTH,180.0
2018,WRIGHT,180.5
2019,ADAIR,176.5
2019,ALLAMAKEE,187.2
2019,APPANOOSE,166.8
2019,AUDUBON,216.0
2019,BENTON,197.6
2019,BLACK HAWK,205.1
2019,BOONE,194.8
2019,BREMER,212.5
2019,BUCHANAN,218.9
2019,BUENA VISTA,190.8
2019,BUTLER,209.5
2019,CALHOUN,198.8
2019,CARROLL,219.7
2019,CASS,200.3
2019,CEDAR,193.7
2019,CERRO GORDO,191.8
2019,CHEROKEE,208.9
2019,CHICKASAW,212.1
2019,CLAY,185.5
2019,CLAYTON,197.5
2019,CLINTON,196.1
2019,CRAWFORD,234.7
2019,DALLAS,195.0
2019,DAVIS,160.0
2019,DELAWARE,204.5
2019,DES MOINES,176.9
2019,DICKINSON,170.0
2019,DUBUQUE,216.4
2019,FAYETTE,200.5
2019,FLOYD,202.9
2019,FRANKLIN,202.7
2019,GREENE,201.4
2019,GRUNDY,209.8
2019,GUTHRIE,196.7
2019,HAMILTON,198.2
2019,HANCOCK,193.3
2019,HARDIN,200.2
2019,HENRY,164.5
2019,HOWARD,194.2
2019,HUMBOLDT,198.7
2019,IOWA,190.6
2019,JACKSON,185.5
2019,JASPER,209.3
2019,JEFFERSON,162.7
2019,JOHNSON,181.3
2019,JONES,203.0
2019,KEOKUK,175.4
2019,KOSSUTH,198.7
2019,LEE,172.5
2019,LINN,223.7
2019,LOUISA,174.6
2019,LYON,186.5
2019,MADISON,175.7
2019,MAHASKA,189.9
2019,MARION,170.7
2019,MARSHALL,221.9
2019,MILLS,202.9
2019,MITCHELL,194.5
2019,MONONA,203.9
2019,MONROE,162.3
2019,MONTGOMERY,204.8
2019,MUSCATINE,173.2
2019,O BRIEN,204.9
2019,OSCEOLA,182.5
2019,OTHER (COMBINED) COUNTIES,185.775
2019,PAGE,191.3
2019,PALO ALTO,198.3
2019,PLYMOUTH,217.8
2019,POLK,196.6
2019,POTTAWATTAMIE,208.0
2019,POWESHIEK,200.3
2019,SAC,220.6
2019,SCOTT,189.4
2019,SHELBY,217.3
2019,SIOUX,192.1
2019,STORY,189.3
2019,TAMA,204.8
